seccion_casilla,distrito_local,DISTRITO_L,casilla_tipo,seccion,CASILLA,PRIANRD,MORENA,candidato_no_registrado,votos_nulos,votacion_total_emitida,lista_nominal,hora_captura
113 BASICA,SANTA ANA XVIII,18,URBANA,113,BASICA,170,197,0,13,380,665,07/06/2021 00:56
112 CONTIGUA 2,SANTA ANA XVIII,18,URBANA,112,CONTIGUA 2,160,133,0,11,304,529,07/06/2021 00:31
112 CONTIGUA 1,SANTA ANA XVIII,18,URBANA,112,CONTIGUA 1,118,124,0,17,259,529,07/06/2021 03:26
38 CONTIGUA 1,SANTA ANA XVIII,18,RURAL,38,CONTIGUA 1,218,47,0,18,283,446,07/06/2021 00:17
146 EXTRAORDINARIA 1,SANTA ANA XVIII,18,RURAL,146,EXTRAORDINARIA 1,47,118,0,7,172,199,07/06/2021 01:20
146 BASICA,SANTA ANA XVIII,18,RURAL,146,BASICA,128,279,1,11,419,505,06/06/2021 23:40
331 BASICA,SANTA ANA XVIII,18,RURAL,331,BASICA,367,120,0,25,512,663,06/06/2021 20:51
250 BASICA,SANTA ANA XVIII,18,RURAL,250,BASICA,62,15,0,9,86,113,06/06/2021 21:53
694 CONTIGUA 1,SAN LUIS RIO COLORADO I    ,1,URBANA,694,CONTIGUA 1,92,117,0,3,212,539,06/06/2021 23:58
695 CONTIGUA 1,SAN LUIS RIO COLORADO I    ,1,URBANA,695,CONTIGUA 1,74,102,0,7,183,475,07/06/2021 04:32
670 CONTIGUA 2,SAN LUIS RIO COLORADO I    ,1,URBANA,670,CONTIGUA 2,148,152,0,9,309,698,07/06/2021 04:33
723 CONTIGUA 2,SAN LUIS RIO COLORADO I    ,1,URBANA,723,CONTIGUA 2,124,133,0,8,265,707,06/06/2021 20:38
681 CONTIGUA 2,SAN LUIS RIO COLORADO I    ,1,URBANA,681,CONTIGUA 2,103,127,0,11,241,652,07/06/2021 03:12
694 BASICA,SAN LUIS RIO COLORADO I    ,1,URBANA,694,BASICA,111,116,0,10,237,540,07/06/2021 00:32
723 BASICA,SAN LUIS RIO COLORADO I    ,1,URBANA,723,BASICA,114,159,0,11,284,708,07/06/2021 04:10
689 CONTIGUA 1,SAN LUIS RIO COLORADO I    ,1,URBANA,689,CONTIGUA 1,104,77,1,2,184,388,07/06/2021 04:02
656 BASICA,SAN LUIS RIO COLORADO I    ,1,URBANA,656,BASICA,170,49,0,8,227,416,06/06/2021 23:53
686 BASICA,SAN LUIS RIO COLORADO I    ,1,URBANA,686,BASICA,173,99,0,9,281,581,07/06/2021 00:04
652 CONTIGUA 1,SAN LUIS RIO COLORADO I    ,1,URBANA,652,CONTIGUA 1,81,68,0,6,155,396,06/06/2021 22:23
668 CONTIGUA 1,SAN LUIS RIO COLORADO I    ,1,URBANA,668,CONTIGUA 1,135,87,0,9,231,737,07/06/2021 01:45
714 BASICA,SAN LUIS RIO COLORADO I    ,1,URBANA,714,BASICA,147,140,0,8,295,717,07/06/2021 00:38
721 CONTIGUA 2,SAN LUIS RIO COLORADO I    ,1,URBANA,721,CONTIGUA 2,119,141,0,7,267,605,07/06/2021 04:20
